20190921_145554_378	Script filename: '/usr/src/Robot/Robots/Rover/scripts/forwardback01.sh'
20190921_145554_378	MOTOR_FORWARD_BACK	-10	1000
20190921_145554_878	MOTOR_LEFT_RIGHT	-16	500
20190921_145555_378	MOTOR_FORWARD_BACK	10	1000
20190921_145556_378	MOTOR_FORWARD_BACK	-10	1000
20190921_145556_878	MOTOR_LEFT_RIGHT	-16	500
20190921_145557_378	MOTOR_FORWARD_BACK	10	1000
20190921_145558_378	MOTOR_FORWARD_BACK	-10	1000
20190921_145558_878	MOTOR_LEFT_RIGHT	-16	500
20190921_145559_378	MOTOR_FORWARD_BACK	10	1000
20190921_145600_378	MOTOR_FORWARD_BACK	-10	1000
20190921_145600_878	MOTOR_LEFT_RIGHT	-16	500
20190921_145601_378	MOTOR_FORWARD_BACK	10	1000
20190921_145602_378	MOTOR_FORWARD_BACK	-10	1000
20190921_145602_878	MOTOR_LEFT_RIGHT	-16	500
20190921_145602_998	key=20 ( )
20190921_145603_378	MOTOR_FORWARD_BACK	10	1000
20190921_145604_388	MOTOR_FORWARD_BACK	-10	1000
20190921_145604_878	MOTOR_LEFT_RIGHT	16	500
20190921_145605_378	MOTOR_FORWARD_BACK	10	1000
20190921_145606_378	MOTOR_FORWARD_BACK	-10	1000
20190921_145606_868	MOTOR_LEFT_RIGHT	16	500
20190921_145607_368	MOTOR_FORWARD_BACK	10	1000
20190921_145607_998	key=20 ( )
