Time	Inst Time	Quantity	Trgt/ZrVl/Thr (WG)	Info/CrctDir	TargetAngle	CurrentAngle	Velocity	Accel	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250	260	270	280	290	300	310	320	330	340	350	360	370	380	390	400	410	420	430	440	450	460	470	480	490	500	510	520	530	540	550	560	570	580	590	600	610	620	630	640	650	660	670	680	690	700	710	720	730	740	750	760	770	780	790	800	810	820	830	840	850	860	870	880	890	900	910	920	930	940	950	960	970	980	990	1000
14	4			Angle 0 in range2 'Torso X' 'Torso Motor' -12.02 (-14.13<-12.13<-10.13
14	4		Ang=-12.02 Vel=0.02 Accel=-0.09 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
20	10		Ang=-12.02 Vel=0.02 Accel=-0.09 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
30	20		Ang=-12.05 Vel=-0.07 Accel=-0.09 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
40	30		Ang=-12.06 Vel=0.25 Accel=0.32 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
50	40		Ang=-12.12 Vel=0.13 Accel=-0.11 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
60	50		Ang=-12.28 Vel=0.11 Accel=-0.02 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
70	60		Ang=-12.55 Vel=-0.03 Accel=-0.14 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
80	70		Ang=-12.43 Vel=0.30 Accel=0.33 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
90	80		Ang=-12.65 Vel=-0.07 Accel=-0.37 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
100	90		Ang=-12.67 Vel=0.98 Accel=1.05 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
110	100		Ang=-12.65 Vel=1.65 Accel=0.67 T=0	Thrust=0: In Range and moving against gravity -14.1 -10.1
120	110		Ang=-12.64 Vel=1.00 Accel=-0.65 T=0	Thrust=0: In Range and moving against gravity -14.1 -10.1
130	120		Ang=-12.63 Vel=0.77 Accel=-0.24 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
140	130		Ang=-12.62 Vel=1.18 Accel=0.41 T=0	Thrust=0: In Range and moving against gravity -14.1 -10.1
150	140		Ang=-12.61 Vel=0.82 Accel=-0.36 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
160	150		Ang=-12.61 Vel=-0.14 Accel=-0.96 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
170	160		Ang=-12.61 Vel=0.48 Accel=0.63 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
180	170		Ang=-12.60 Vel=0.81 Accel=0.33 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
190	180		Ang=-12.60 Vel=-0.24 Accel=-1.05 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
200	190		Ang=-12.60 Vel=-0.09 Accel=0.15 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
210	200		Ang=-12.60 Vel=0.77 Accel=0.86 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
220	210		Ang=-12.59 Vel=0.35 Accel=-0.43 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
230	220		Ang=-12.59 Vel=0.19 Accel=-0.16 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
240	230		Ang=-12.58 Vel=1.10 Accel=0.91 T=0	Thrust=0: In Range and moving against gravity -14.1 -10.1
250	240		Ang=-12.56 Vel=1.49 Accel=0.40 T=0	Thrust=0: In Range and moving against gravity -14.1 -10.1
260	250		Ang=-12.55 Vel=0.93 Accel=-0.56 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
270	260		Ang=-12.54 Vel=1.35 Accel=0.42 T=0	Thrust=0: In Range and moving against gravity -14.1 -10.1
280	270		Ang=-12.53 Vel=1.16 Accel=-0.20 T=0	Thrust=0: In Range and moving against gravity -14.1 -10.1
290	280		Ang=-12.53 Vel=0.13 Accel=-1.02 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
300	290		Ang=-12.52 Vel=0.40 Accel=0.27 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
310	300		Ang=-12.51 Vel=1.02 Accel=0.62 T=0	Thrust=0: In Range and moving against gravity -14.1 -10.1
320	310		Ang=-12.51 Vel=0.48 Accel=-0.53 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
330	320		Ang=-12.51 Vel=0.08 Accel=-0.40 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
340	330		Ang=-12.50 Vel=0.43 Accel=0.35 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
350	340		Ang=-12.50 Vel=0.35 Accel=-0.08 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
360	350		Ang=-12.50 Vel=0.15 Accel=-0.20 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
370	360		Ang=-12.49 Vel=0.62 Accel=0.47 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
380	370		Ang=-12.48 Vel=0.92 Accel=0.30 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
390	380		Ang=-12.48 Vel=0.77 Accel=-0.15 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
400	390		Ang=-12.47 Vel=0.82 Accel=0.05 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
410	400		Ang=-12.46 Vel=0.51 Accel=-0.31 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
420	410		Ang=-12.46 Vel=-0.05 Accel=-0.56 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
430	420		Ang=-12.46 Vel=0.13 Accel=0.18 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
440	430		Ang=-12.47 Vel=-0.42 Accel=-0.55 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
450	440		Ang=-12.47 Vel=-0.38 Accel=0.04 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
460	450		Ang=-12.47 Vel=0.19 Accel=0.56 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
470	460		Ang=-12.46 Vel=0.78 Accel=0.60 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
480	470		Ang=-12.46 Vel=-0.12 Accel=-0.90 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
490	480		Ang=-12.46 Vel=0.32 Accel=0.44 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
500	490		Ang=-12.45 Vel=0.45 Accel=0.13 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
510	500		Ang=-12.45 Vel=0.45 Accel=0.00 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
520	510		Ang=-12.45 Vel=0.21 Accel=-0.24 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
530	520		Ang=-12.45 Vel=0.16 Accel=-0.05 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
540	530		Ang=-12.45 Vel=-0.40 Accel=-0.56 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
550	540		Ang=-12.46 Vel=-0.95 Accel=-0.55 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
560	550		Ang=-12.47 Vel=-0.80 Accel=0.15 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
570	560		Ang=-12.47 Vel=-0.29 Accel=0.51 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
580	570		Ang=-12.47 Vel=0.04 Accel=0.33 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
590	580		Ang=-12.47 Vel=-0.16 Accel=-0.20 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
600	590		Ang=-12.47 Vel=-0.00 Accel=0.15 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
610	600		Ang=-12.47 Vel=0.30 Accel=0.31 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
620	610		Ang=-12.47 Vel=-0.08 Accel=-0.38 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
630	620		Ang=-12.47 Vel=-0.00 Accel=0.08 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
640	630		Ang=-12.47 Vel=0.03 Accel=0.03 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
650	640		Ang=-12.48 Vel=-0.67 Accel=-0.69 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
660	650	Ang	TargetIdx=-1		(-14.1<-12.1<-10.1)	-12.49
660	650	Vel	Zero=4	0			-1.32
660	650	Accel	Thrust=0 (0)	0				-0.66	-0.44
660	650			V=N HOLD_ANGLE_TVR Seg=-12.49 Targ=-12.13 Vel=-1.32 TVR=0.50 Thrust=0 IncAngDir=1
670	660	Ang	TargetIdx=-1		(-14.1<-12.1<-10.1)	-12.50
670	660	Vel	Zero=-1	0			-1.38
670	660	Accel	Thrust=0 (0)	0				-0.05	-0.47
670	660			V=N HOLD_ANGLE_TVR Seg=-12.50 Targ=-12.13 Vel=-1.38 TVR=0.50 Thrust=0 IncAngDir=1
680	670		Ang=-12.51 Vel=-0.58 Accel=0.80 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
