Time	Inst Time	Quantity	Trgt/ZrVl/Thr (WG)	Info/CrctDir	TargetAngle	CurrentAngle	Velocity	Accel	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250	260	270	280	290	300	310	320	330	340	350	360	370	380	390	400	410	420	430	440	450	460	470	480	490	500	510	520	530	540	550	560	570	580	590	600	610	620	630	640	650	660	670	680	690	700	710	720	730	740	750	760	770	780	790	800	810	820	830	840	850	860	870	880	890	900	910	920	930	940	950	960	970	980	990	1000
1881	1			MAINTAINING LAST THRUST (-5) Segment Right Upper Leg out of range	TargetAngle=2.00 3.00 11.00
1881	1			Segment Right Upper Leg out of range	TargetAngle=2.00 3.00 11.00
1890	10	Ang	TargetIdx=-1		( 2.0< 3.0<11.0)	-3.04
1890	10	Vel	Zero=3 Min=0 Max=100	1			4.58
1890	10	Accel	Thrust=-3 (0)	0				-2.08	-0.02
1900	20	Ang	TargetIdx=57		( 2.0< 3.0<11.0)	-2.94
1900	20	Vel	Zero=-1 Min=100 Max=2	1			10.42
1900	20	Accel	Thrust=-3 (0)	1				5.85	1.93
1900	20			Dec: Targ<25 Zero>28 V=Y A=Y V>Min Need=1 T=0
1910	30	Ang	TargetIdx=38		( 2.0< 3.0<11.0)	-2.78
1910	30	Vel	Zero=-1 Min=100 Max=1	1			15.51
1910	30	Accel	Thrust=-3 (0)	1				5.08	2.95
1910	30			Dec: Targ<25 Zero>28 V=Y A=Y V>Min Need=1 T=0
1924	44	Ang	TargetIdx=28		( 2.0< 3.0<11.0)	-2.58
1924	44	Vel	Zero=-1 Min=100 Max=0	1			20.25
1924	44	Accel	Thrust=-3 (0)	1				4.74	5.22
1924	44			Dec: Targ<25 Zero>28 V=Y A=Y V>Min Need=1 T=0
1930	50	Ang	TargetIdx=28		( 2.0< 3.0<11.0)	-2.39
1930	50	Vel	Zero=34 Min=17 Max=100	1			19.66
1930	50	Accel	Thrust=-3 (0)	0				-0.59	3.08
1940	60	Ang	TargetIdx=20		( 2.0< 3.0<11.0)	-2.12
1940	60	Vel	Zero=-1 Min=100 Max=0	1			26.10
1940	60	Accel	Thrust=-3 (0)	1				6.44	3.53
1940	60			INC BRAKE DecThrust: Targ<=25 V*5>Targ
1950	70	Ang	TargetIdx=16		( 2.0< 3.0<11.0)	-1.81
1950	70	Vel	Zero=-1 Min=100 Max=0	1			31.17
1950	70	Accel	Thrust=-3 (0)	1				5.08	3.64
1950	70			INC BRAKE DecThrust: Targ<=25 V*5>Targ
1960	80	Ang	TargetIdx=18		( 2.0< 3.0<11.0)	-1.55
1960	80	Vel	Zero=6 Min=4 Max=0	1			26.14
1960	80	Accel	Thrust=-3 (0)	0				-5.03	2.16
1960	80			INC BRAKE DecThrust: Targ<=25 V*5>Targ
1970	90	Ang	TargetIdx=18		( 2.0< 3.0<11.0)	-1.30
1970	90	Vel	Zero=18 Min=11 Max=0	1			24.71
1970	90	Accel	Thrust=-3 (0)	0				-1.44	-0.46
1970	90			INC BRAKE DecThrust: Targ<=25 V*5>Targ
1980	100	Ang	TargetIdx=15		( 2.0< 3.0<11.0)	-1.03
1980	100	Vel	Zero=-1 Min=100 Max=0	1			27.13
1980	100	Accel	Thrust=-3 (0)	1				2.43	-1.35
1980	100			INC BRAKE DecThrust: Targ<=25 V*5>Targ
1990	110	Ang	TargetIdx=12		( 2.0< 3.0<11.0)	-0.71
1990	110	Vel	Zero=-1 Min=100 Max=0	1			32.68
1990	110	Accel	Thrust=-3 (0)	1				5.55	2.18
1990	110			INC BRAKE DecThrust: Targ<=25 V*5>Targ
2000	120	Ang	TargetIdx=9		( 2.0< 3.0<11.0)	-0.32
2000	120	Vel	Zero=-1 Min=100 Max=0	1			38.66
2000	120	Accel	Thrust=-3 (0)	1				5.98	4.65
2000	120			INC BRAKE DecThrust: Targ<=25 V*5>Targ
2010	130	Ang	TargetIdx=7		( 2.0< 3.0<11.0)	0.12
2010	130	Vel	Zero=-1 Min=100 Max=0	1			43.77
2010	130	Accel	Thrust=-3 (0)	1				5.11	5.54
2010	130			INC BRAKE DecThrust: Targ<=25 V*5>Targ
2020	140	Ang	TargetIdx=5		( 2.0< 3.0<11.0)	0.61
2020	140	Vel	Zero=-1 Min=100 Max=0	1			49.29
2020	140	Accel	Thrust=-3 (0)	1				5.52	5.53
2020	140			INC BRAKE DecThrust: Targ<=25 V*5>Targ
2047	167	Ang	TargetIdx=3		( 2.0< 3.0<11.0)	1.70
2047	167	Vel	Zero=-1 Min=100 Max=0	1			54.58
2047	167	Accel	Thrust=-3 (0)	1				0.47	3.70
2047	167			INC BRAKE DecThrust: Targ<=25 V*5>Targ
2047	167	Ang	TargetIdx=3		( 2.0< 3.0<11.0)	1.70
2047	167	Vel	Zero=-1 Min=100 Max=0	1			54.58
2047	167	Accel	Thrust=-3 (0)	1				0.47	2.15
2047	167			INC BRAKE DecThrust: Targ<=25 V*5>Targ
2050	170			Angle 0 in range1 'Right Upper Leg Z' 'Left Ankle Motor' 2.21 (2.00<3.00<11.00
2050	170			Changing Left Ankle Motor from Accel[0] (Right Upper Leg Z 3.0 2.0 11.0) to Accel[1] (Right Lower Leg Z 4.0 1.0 12.0)
2060	180	Ang	TargetIdx=18		( 1.0< 4.0<12.0)	0.13
2060	180	Vel	Zero=-1 Min=100 Max=0	1			22.38
2060	180	Accel	Thrust=-3 (0)	1				5.47	3.18
2060	180			INC BRAKE DecThrust: Targ<=25 V*5>Targ
2070	190	Ang	TargetIdx=12		( 1.0< 4.0<12.0)	0.45
2070	190	Vel	Zero=-1 Min=100 Max=0	1			31.62
2070	190	Accel	Thrust=-3 (0)	1				9.24	6.10
2070	190			INC BRAKE DecThrust: Targ<=25 V*5>Targ
2080	200	Ang	TargetIdx=9		( 1.0< 4.0<12.0)	0.84
2080	200	Vel	Zero=-1 Min=100 Max=0	1			38.96
2080	200	Accel	Thrust=-3 (0)	1				7.34	7.35
2080	200			INC BRAKE DecThrust: Targ<=25 V*5>Targ
2090	210			Angle 1 in range1 'Right Lower Leg Z' 'Left Ankle Motor' 1.29 (1.00<4.00<12.00
2090	210	Ang	TargetIdx=7		( 1.0< 4.0<12.0)	1.29
2090	210	Vel	Zero=-1 Min=100 Max=0	1			44.83
2090	210	Accel	Thrust=-3 (0)	1				5.87	7.48
2090	210			INC BRAKE DecThrust: Targ<=25 V*5>Targ
2100	220	Ang	TargetIdx=5		( 1.0< 4.0<12.0)	1.77
2100	220	Vel	Zero=-1 Min=100 Max=0	1			48.16
2100	220	Accel	Thrust=-3 (0)	1				3.34	5.51
2100	220			INC BRAKE DecThrust: Targ<=25 V*5>Targ
2110	230	Ang	TargetIdx=5		( 1.0< 4.0<12.0)	2.21
2110	230	Vel	Zero=12 Min=10 Max=0	1			44.44
2110	230	Accel	Thrust=-3 (0)	0				-3.73	1.83
2110	230			INC BRAKE DecThrust: Targ<=25 V*5>Targ
