Time	Inst Time	Quantity	Trgt/ZrVl/Thr (WG)	Info/CrctDir	Angle	Velocity	Accel	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250	260	270	280	290	300	310	320	330	340	350	360	370	380	390	400	410	420	430	440	450	460	470	480	490	500	510	520	530	540	550	560	570	580	590	600	610	620	630	640	650	660	670	680	690	700	710	720	730	740	750	760	770	780	790	800	810	820	830	840	850	860	870	880	890	900	910	920	930	940	950	960	970	980	990	1000
1960	0	Ang	TargetIdx=13		-6.09
1960	0	Vel	Zero=7 Min=3 Max=100	1		-7.18
1960	0	Accel	Thrust=6 (0)	0			1.07	0.36
1960	0			STOP BRAKE & THRUST T=-1: V=Y (A=N) T=N V>MinV but MinVFI<5
1970	10	Ang	TargetIdx=14		-6.15
1970	10	Vel	Zero=8 Min=2 Max=100	1		-6.34
1970	10	Accel	Thrust=-1 (0)	0			0.83	0.63
1970	10			MINV Inc: V=Y T=Y (A=N) V>MinV but MinVFI<5
1980	20	Ang	TargetIdx=12		-6.22
1980	20	Vel	Zero=-1 Min=100 Max=3	1		-6.79
1980	20	Accel	Thrust=-2 (0)	1			-0.44	0.49
1980	20			START BRAKE Thrust=0: V=Y MaxVFI<5 T=Y 
1990	30	Ang	TargetIdx=12		-6.28
1990	30	Vel	Zero=9 Min=2 Max=100	1		-6.09
1990	30	Accel	Thrust=0 (0)	0			0.70	0.36
1990	30			STOP BRAKE & THRUST T=-1: V=Y (A=N) T=N V>MinV but MinVFI<5
2000	40	Ang	TargetIdx=12		-6.34
2000	40	Vel	Zero=16 Min=2 Max=100	1		-5.72
2000	40	Accel	Thrust=-1 (0)	0			0.37	0.21
2000	40			MINV Inc: V=Y T=Y (A=N) V>MinV but MinVFI<5
2010	50	Ang	TargetIdx=14		-6.38
2010	50	Vel	Zero=5 Min=0 Max=100	1		-4.68
2010	50	Accel	Thrust=-2 (0)	0			1.04	0.70
2010	50			Inc: V=Y V<MinV T=Y A=N
2020	60	Ang	TargetIdx=14		-6.43
2020	60	Vel	Zero=16 Min=0 Max=100	1		-4.39
2020	60	Accel	Thrust=-3 (0)	0			0.29	0.56
2020	60			Inc: V=Y V<MinV T=Y A=N
2030	70	Ang	TargetIdx=12		-6.47
2030	70	Vel	Zero=-1 Min=0 Max=94	1		-4.43
2030	70	Accel	Thrust=-4 (0)	1			-0.04	0.43
2030	70			Inc: V=Y V<MinV T=Y A=Y A<MaxA
2040	80	Ang	TargetIdx=10		-6.52
2040	80	Vel	Zero=-1 Min=100 Max=5	1		-5.07
2040	80	Accel	Thrust=-5 (0)	1			-0.64	-0.13
2050	90	Ang	TargetIdx=9		-6.57
2050	90	Vel	Zero=-1 Min=100 Max=14	1		-5.28
2050	90	Accel	Thrust=-5 (0)	1			-0.21	-0.30
2060	100	Ang	TargetIdx=7		-6.63
2060	100	Vel	Zero=-1 Min=100 Max=9	1		-5.55
2060	100	Accel	Thrust=-5 (0)	1			-0.27	-0.37
2070	110	Ang	TargetIdx=6		-6.69
2070	110	Vel	Zero=-1 Min=100 Max=64	1		-5.59
2070	110	Accel	Thrust=-5 (0)	1			-0.04	-0.17
