Time	Inst Time	Quantity	Trgt/ZrVl/Thr (WG)	Info/CrctDir	Angle	Velocity	Accel	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250	260	270	280	290	300	310	320	330	340	350	360	370	380	390	400	410	420	430	440	450	460	470	480	490	500	510	520	530	540	550	560	570	580	590	600	610	620	630	640	650	660	670	680	690	700	710	720	730	740	750	760	770	780	790	800	810	820	830	840	850	860	870	880	890	900	910	920	930	940	950	960	970	980	990	1000
1640	0	Ang	TargetIdx=60		-3.71
1640	0	Vel	Zero=-1 Min=0 Max=31	1		-3.81
1640	0	Accel	Thrust=0 (0)	1			-0.14	-0.05
1650	10	Ang	TargetIdx=79		-3.74
1650	10	Vel	Zero=4 Min=0 Max=100	1		-2.88
1650	10	Accel	Thrust=0 (0)	0			0.93	0.26
1650	10			STOP BRAKE & THRUST T=-1: V=Y V<MinV T=N A=N
1660	20	Ang	TargetIdx=71		-3.77
1660	20	Vel	Zero=-1 Min=0 Max=17	1		-3.17
1660	20	Accel	Thrust=-1 (0)	1			-0.29	0.17
1660	20			Inc: V=Y V<MinV T=Y A=Y A<MaxA
1670	30	Ang	TargetIdx=51		-3.82
1670	30	Vel	Zero=-1 Min=0 Max=4	1		-4.30
1670	30	Accel	Thrust=-2 (0)	1			-1.12	-0.16
1670	30			START BRAKE Thrust=0: V=Y MaxVFI<5 T=Y 
1680	40	Ang	TargetIdx=46		-3.86
1680	40	Vel	Zero=-1 Min=0 Max=10	1		-4.65
1680	40	Accel	Thrust=0 (0)	1			-0.35	-0.59
1690	50	Ang	TargetIdx=38		-3.92
1690	50	Vel	Zero=-1 Min=100 Max=3	1		-5.52
1690	50	Accel	Thrust=0 (0)	1			-0.88	-0.78
1690	50			BRAKE MORE: Dec V=Y MaxVFI<5 T=N MinVFI>=5
1700	60	Ang	TargetIdx=41		-3.97
1700	60	Vel	Zero=11 Min=1 Max=100	1		-5.06
1700	60	Accel	Thrust=1 (0)	0			0.47	-0.25
1700	60			STOP BRAKE & THRUST T=-1: V=Y (A=N) T=N V>MinV but MinVFI<5
1710	70	Ang	TargetIdx=47		-4.01
1710	70	Vel	Zero=6 Min=0 Max=100	1		-4.29
1710	70	Accel	Thrust=-1 (0)	0			0.77	0.12
1710	70			Inc: V=Y V<MinV T=Y A=N
1720	80	Ang	TargetIdx=57		-4.05
1720	80	Vel	Zero=5 Min=0 Max=100	1		-3.46
1720	80	Accel	Thrust=-2 (0)	0			0.83	0.69
1720	80			Inc: V=Y V<MinV T=Y A=N
1730	90	Ang	TargetIdx=49		-4.09
1730	90	Vel	Zero=-1 Min=0 Max=9	1		-3.94
1730	90	Accel	Thrust=-3 (0)	1			-0.48	0.37
1730	90			Inc: V=Y V<MinV T=Y A=Y A<MaxA
1740	100	Ang	TargetIdx=57		-4.12
1740	100	Vel	Zero=6 Min=0 Max=100	1		-3.33
1740	100	Accel	Thrust=-4 (0)	0			0.61	0.32
1740	100			Inc: V=Y V<MinV T=Y A=N
1750	110	Ang	TargetIdx=51		-4.16
1750	110	Vel	Zero=-1 Min=0 Max=14	1		-3.64
1750	110	Accel	Thrust=-5 (0)	1			-0.31	-0.06
1750	110			Inc: V=Y V<MinV T=Y A=Y A<MaxA
1760	120	Ang	TargetIdx=44		-4.20
1760	120	Vel	Zero=-1 Min=0 Max=8	1		-4.17
1760	120	Accel	Thrust=-6 (0)	1			-0.53	-0.08
1760	120			Dec: V=Y V<MinV T=Y A=Y A>MaxA
1770	130	Ang	TargetIdx=44		-4.24
1770	130	Vel	Zero=60 Min=0 Max=100	1		-4.10
1770	130	Accel	Thrust=-5 (0)	0			0.07	-0.26
1770	130			Inc: V=Y V<MinV T=Y A=N
1780	140	Ang	TargetIdx=38		-4.28
1780	140	Vel	Zero=-1 Min=0 Max=8	1		-4.56
1780	140	Accel	Thrust=-6 (0)	1			-0.46	-0.31
1780	140			Inc: V=Y V<MinV T=Y A=Y A<MaxA
1790	150	Ang	TargetIdx=34		-4.33
1790	150	Vel	Zero=-1 Min=100 Max=7	1		-5.04
1790	150	Accel	Thrust=-6 (0)	1			-0.49	-0.29
1800	160	Ang	TargetIdx=25		-4.40
1800	160	Vel	Zero=-1 Min=100 Max=2	1		-6.51
1800	160	Accel	Thrust=-6 (0)	1			-1.47	-0.80
1800	160			START BRAKE Thrust=0: V=Y MaxVFI<5 T=Y 
1810	170	Ang	TargetIdx=26		-4.46
1810	170	Vel	Zero=17 Min=4 Max=100	1		-6.14
1810	170	Accel	Thrust=0 (0)	0			0.37	-0.53
1810	170			STOP BRAKE & THRUST T=-1: V=Y (A=N) T=N V>MinV but MinVFI<5
1820	180	Ang	TargetIdx=25		-4.52
1820	180	Vel	Zero=-1 Min=37 Max=100	1		-6.10
1820	180	Accel	Thrust=-1 (0)	0			0.03	-0.35
1830	190	Ang	TargetIdx=23		-4.59
1830	190	Vel	Zero=-1 Min=100 Max=6	1		-6.38
1830	190	Accel	Thrust=-1 (0)	1			-0.27	0.04
1840	200	Ang	TargetIdx=19		-4.66
1840	200	Vel	Zero=-1 Min=100 Max=1	1		-7.27
1840	200	Accel	Thrust=-1 (0)	1			-0.89	-0.38
1840	200			START BRAKE Thrust=0: V=Y MaxVFI<5 T=Y 
1850	210	Ang	TargetIdx=22		-4.72
1850	210	Vel	Zero=5 Min=1 Max=100	1		-6.00
1850	210	Accel	Thrust=0 (0)	0			1.27	0.04
1850	210			STOP BRAKE & THRUST T=-1: V=Y (A=N) T=N V>MinV but MinVFI<5
1860	220	Ang	TargetIdx=25		-4.77
1860	220	Vel	Zero=5 Min=0 Max=100	1		-4.96
1860	220	Accel	Thrust=-1 (0)	0			1.04	0.47
1860	220			Inc: V=Y V<MinV T=Y A=N
1870	230	Ang	TargetIdx=19		-4.83
1870	230	Vel	Zero=-1 Min=100 Max=2	1		-6.27
1870	230	Accel	Thrust=-2 (0)	1			-1.31	0.33
1870	230			START BRAKE Thrust=0: V=Y MaxVFI<5 T=Y 
1880	240	Ang	TargetIdx=19		-4.89
1880	240	Vel	Zero=29 Min=5 Max=100	1		-6.06
1880	240	Accel	Thrust=0 (0)	0			0.21	-0.02
1890	250	Ang	TargetIdx=25		-4.93
1890	250	Vel	Zero=3 Min=0 Max=100	1		-4.39
1890	250	Accel	Thrust=0 (0)	0			1.67	0.19
1890	250			STOP BRAKE & THRUST T=-1: V=Y V<MinV T=N A=N
1900	260	Ang	TargetIdx=26		-4.97
1900	260	Vel	Zero=11 Min=0 Max=100	1		-4.00
1900	260	Accel	Thrust=-1 (0)	0			0.39	0.76
1900	260			Inc: V=Y V<MinV T=Y A=N
1910	270	Ang	TargetIdx=14		-5.05
1910	270	Vel	Zero=-1 Min=100 Max=1	1		-7.05
1910	270	Accel	Thrust=-2 (0)	1			-3.05	-0.33
1910	270			START BRAKE Thrust=0: V=Y MaxVFI<5 T=Y 
1920	280	Ang	TargetIdx=15		-5.11
1920	280	Vel	Zero=7 Min=2 Max=100	1		-6.08
1920	280	Accel	Thrust=0 (0)	0			0.97	-0.56
1920	280			STOP BRAKE & THRUST T=-1: V=Y (A=N) T=N V>MinV but MinVFI<5
1930	290	Ang	TargetIdx=17		-5.16
1930	290	Vel	Zero=5 Min=1 Max=100	1		-5.02
1930	290	Accel	Thrust=-1 (0)	0			1.06	-0.34
1930	290			MINV Inc: V=Y T=Y (A=N) V>MinV but MinVFI<5
1940	300	Ang	TargetIdx=13		-5.22
1940	300	Vel	Zero=-1 Min=100 Max=2	1		-6.40
