Time	Inst Time	Quantity	Trgt/ZrVl/Thr (WG)	Info/CrctDir	TargetAngle	CurrentAngle	Velocity	Accel	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250	260	270	280	290	300	310	320	330	340	350	360	370	380	390	400	410	420	430	440	450	460	470	480	490	500	510	520	530	540	550	560	570	580	590	600	610	620	630	640	650	660	670	680	690	700	710	720	730	740	750	760	770	780	790	800	810	820	830	840	850	860	870	880	890	900	910	920	930	940	950	960	970	980	990	1000
10	0			Angle 0 in range2 'Torso X' 'Torso Motor' -11.88 (-13.87<-11.87<-9.87
10	0		Ang=-11.88 Vel=-0.33 Accel=-0.15 T=0		Thrust=0: In Range and not moving (range= -13.9 to -9.9)
20	10		Ang=-11.98 Vel=-0.21 Accel=0.12 T=0		Thrust=0: In Range and not moving (range= -13.9 to -9.9)
30	20		Ang=-11.84 Vel=0.08 Accel=0.29 T=0		Thrust=0: In Range and not moving (range= -13.9 to -9.9)
40	30		Ang=-11.84 Vel=-0.02 Accel=-0.10 T=0		Thrust=0: In Range and not moving (range= -13.9 to -9.9)
50	40		Ang=-11.54 Vel=0.30 Accel=0.32 T=0		Thrust=0: In Range and not moving (range= -13.9 to -9.9)
60	50		Ang=-11.53 Vel=-0.21 Accel=-0.51 T=0		Thrust=0: In Range and not moving (range= -13.9 to -9.9)
70	60		Ang=-11.13 Vel=-0.19 Accel=0.02 T=0		Thrust=0: In Range and not moving (range= -13.9 to -9.9)
80	70		Ang=-10.97 Vel=-0.81 Accel=-0.62 T=0		Thrust=0: In Range and not moving (range= -13.9 to -9.9)
90	80		Ang=-10.98 Vel=-1.19 Accel=-0.38 T=0	Thrust=0: In Range and moving toward TargetAngle -13.9 -9.9
100	90		Ang=-11.00 Vel=-1.97 Accel=-0.78 T=0	Thrust=0: In Range and moving toward TargetAngle -13.9 -9.9
110	100		Ang=-11.02 Vel=-1.94 Accel=0.03 T=0	Thrust=0: In Range and moving toward TargetAngle -13.9 -9.9
120	110		Ang=-11.03 Vel=-0.88 Accel=1.05 T=0		Thrust=0: In Range and not moving (range= -13.9 to -9.9)
130	120		Ang=-11.03 Vel=-0.68 Accel=0.21 T=0		Thrust=0: In Range and not moving (range= -13.9 to -9.9)
140	130		Ang=-11.04 Vel=-0.89 Accel=-0.21 T=0		Thrust=0: In Range and not moving (range= -13.9 to -9.9)
150	140		Ang=-11.04 Vel=-0.16 Accel=0.73 T=0		Thrust=0: In Range and not moving (range= -13.9 to -9.9)
160	150		Ang=-11.04 Vel=0.80 Accel=0.95 T=0		Thrust=0: In Range and not moving (range= -13.9 to -9.9)
170	160		Ang=-11.03 Vel=0.93 Accel=0.14 T=0		Thrust=0: In Range and not moving (range= -13.9 to -9.9)
180	170		Ang=-11.01 Vel=1.68 Accel=0.74 T=0	Thrust=0: In Range and moving against gravity -13.9 -9.9
190	180		Ang=-10.99 Vel=1.82 Accel=0.15 T=0	Thrust=0: In Range and moving against gravity -13.9 -9.9
200	190		Ang=-10.97 Vel=1.77 Accel=-0.05 T=0	Thrust=0: In Range and moving against gravity -13.9 -9.9
210	200		Ang=-10.97 Vel=0.93 Accel=-0.83 T=0		Thrust=0: In Range and not moving (range= -13.9 to -9.9)
220	210		Ang=-10.97 Vel=0.00 Accel=-0.93 T=0		Thrust=0: In Range and not moving (range= -13.9 to -9.9)
230	220		Ang=-10.98 Vel=-1.17 Accel=-1.18 T=0	Thrust=0: In Range and moving toward TargetAngle -13.9 -9.9
240	230		Ang=-11.00 Vel=-2.25 Accel=-1.08 T=0	Thrust=0: In Range and moving toward TargetAngle -13.9 -9.9
250	240		Ang=-11.03 Vel=-2.94 Accel=-0.69 T=0	Thrust=0: In Range and moving toward TargetAngle -13.9 -9.9
260	250		Ang=-11.05 Vel=-2.18 Accel=0.76 T=0	Thrust=0: In Range and moving toward TargetAngle -13.9 -9.9
270	260		Ang=-11.06 Vel=-0.61 Accel=1.57 T=0		Thrust=0: In Range and not moving (range= -13.9 to -9.9)
280	270		Ang=-11.05 Vel=0.48 Accel=1.09 T=0		Thrust=0: In Range and not moving (range= -13.9 to -9.9)
290	280		Ang=-11.03 Vel=1.75 Accel=1.27 T=0	Thrust=0: In Range and moving against gravity -13.9 -9.9
300	290		Ang=-11.01 Vel=2.93 Accel=1.18 T=0	Thrust=0: In Range and moving against gravity -13.9 -9.9
310	300		Ang=-10.97 Vel=3.22 Accel=0.29 T=0	Thrust=0: In Range and moving against gravity -13.9 -9.9
320	310		Ang=-10.94 Vel=3.26 Accel=0.04 T=0	Thrust=0: In Range and moving against gravity -13.9 -9.9
330	320		Ang=-10.92 Vel=2.16 Accel=-1.10 T=0	Thrust=0: In Range and moving against gravity -13.9 -9.9
340	330		Ang=-10.91 Vel=0.90 Accel=-1.26 T=0		Thrust=0: In Range and not moving (range= -13.9 to -9.9)
350	340		Ang=-10.92 Vel=-0.69 Accel=-1.59 T=0		Thrust=0: In Range and not moving (range= -13.9 to -9.9)
360	350		Ang=-10.94 Vel=-1.90 Accel=-1.21 T=0	Thrust=0: In Range and moving toward TargetAngle -13.9 -9.9
370	360		Ang=-10.96 Vel=-2.30 Accel=-0.40 T=0	Thrust=0: In Range and moving toward TargetAngle -13.9 -9.9
380	370		Ang=-10.98 Vel=-2.03 Accel=0.27 T=0	Thrust=0: In Range and moving toward TargetAngle -13.9 -9.9
390	380		Ang=-10.99 Vel=-0.97 Accel=1.07 T=0		Thrust=0: In Range and not moving (range= -13.9 to -9.9)
400	390		Ang=-10.99 Vel=0.10 Accel=1.06 T=0		Thrust=0: In Range and not moving (range= -13.9 to -9.9)
410	400		Ang=-10.97 Vel=1.49 Accel=1.40 T=0	Thrust=0: In Range and moving against gravity -13.9 -9.9
420	410		Ang=-10.95 Vel=2.43 Accel=0.94 T=0	Thrust=0: In Range and moving against gravity -13.9 -9.9
430	420		Ang=-10.92 Vel=3.35 Accel=0.92 T=0	Thrust=0: In Range and moving against gravity -13.9 -9.9
440	430		Ang=-10.88 Vel=3.18 Accel=-0.17 T=0	Thrust=0: In Range and moving against gravity -13.9 -9.9
450	440		Ang=-10.86 Vel=2.11 Accel=-1.07 T=0	Thrust=0: In Range and moving against gravity -13.9 -9.9
460	450		Ang=-10.85 Vel=0.84 Accel=-1.27 T=0		Thrust=0: In Range and not moving (range= -13.9 to -9.9)
470	460		Ang=-10.85 Vel=0.09 Accel=-0.76 T=0		Thrust=0: In Range and not moving (range= -13.9 to -9.9)
