Time	Inst Time	Quantity	Trgt/ZrVl/Thr (WG)	Info/CrctDir	Angle	Velocity	Accel	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250	260	270	280	290	300	310	320	330	340	350	360	370	380	390	400	410	420	430	440	450	460	470	480	490	500	510	520	530	540	550	560	570	580	590	600	610	620	630	640	650	660	670	680	690	700	710	720	730	740	750	760	770	780	790	800	810	820	830	840	850	860	870	880	890	900	910	920	930	940	950	960	970	980	990	1000
10	0			LAST_MAINTAIN_THRUST=0 Segment Left Lower Leg out of range	TargetAngle=-8.00 -7.00 -6.00
10	0			Segment Left Lower Leg out of range	TargetAngle=-8.00 -7.00 -6.00
20	10	Ang	TargetIdx=-1		2.83
20	10	Vel	Zero=-1 Min=0 Max=70	1		-0.03
20	10	Accel	Thrust=-1 (0)	1			-0.11	-0.04
20	10			Dec: V=Y V<MinV T=Y A=Y A>MaxA
30	20	Ang	TargetIdx=-1		2.87
30	20	Vel	Zero=-1 Min=0 Max=94	1		-0.11
30	20	Accel	Thrust=0 (0)	1			-0.08	-0.07
40	30	Ang	TargetIdx=-1		2.59
40	30	Vel	Zero=-1	0		0.10
40	30	Accel	Thrust=0 (0)	0			0.21	0.01
40	30			IncAngDir T=-1: V=N A=N T=N
50	40	Ang	TargetIdx=-1		2.67
50	40	Vel	Zero=-1	0		0.40
50	40	Accel	Thrust=-1 (0)	0			0.30	0.14
50	40			Inc: V=N A=N T=Y
60	50	Ang	TargetIdx=-1		2.25
60	50	Vel	Zero=-1	0		0.85
60	50	Accel	Thrust=-2 (0)	0			0.45	0.32
60	50			Inc: V=N A=N T=Y
70	60	Ang	TargetIdx=-1		-0.18
70	60	Vel	Zero=1	0		0.42
70	60	Accel	Thrust=-3 (0)	1			-0.43	0.11
80	70	Ang	TargetIdx=-1		3.56
80	70	Vel	Zero=-1 Min=0 Max=19	1		-0.00
80	70	Accel	Thrust=-3 (0)	1			-0.43	-0.13
80	70			Dec: V=Y V<MinV T=Y A=Y A>MaxA
90	80	Ang	TargetIdx=-1		3.39
90	80	Vel	Zero=-1 Min=0 Max=12	1		-0.64
90	80	Accel	Thrust=-2 (0)	1			-0.64	-0.50
90	80			Dec: V=Y V<MinV T=Y A=Y A>MaxA
100	90	Ang	TargetIdx=-1		3.60
100	90	Vel	Zero=1 Min=0 Max=100	1		-0.29
100	90	Accel	Thrust=-1 (0)	0			0.36	-0.24
100	90			Inc: V=Y V<MinV T=Y A=N
110	100	Ang	TargetIdx=-1		3.38
110	100	Vel	Zero=-1 Min=0 Max=100	1		-0.36
110	100	Accel	Thrust=-2 (0)	1			-0.08	-0.12
110	100			Inc: V=Y V<MinV T=Y A=Y A<MaxA
120	110	Ang	TargetIdx=-1		4.58
120	110	Vel	Zero=2 Min=0 Max=100	1		-0.21
120	110	Accel	Thrust=-3 (0)	0			0.15	0.15
120	110			Inc: V=Y V<MinV T=Y A=N
130	120	Ang	TargetIdx=-1		4.69
130	120	Vel	Zero=-1 Min=0 Max=11	1		-0.87
130	120	Accel	Thrust=-4 (0)	1			-0.66	-0.20
130	120			Dec: V=Y V<MinV T=Y A=Y A>MaxA
140	130	Ang	TargetIdx=-1		4.68
140	130	Vel	Zero=-1 Min=0 Max=16	1		-1.30
140	130	Accel	Thrust=-3 (0)	1			-0.43	-0.31
140	130			Dec: V=Y V<MinV T=Y A=Y A>MaxA
150	140	Ang	TargetIdx=-1		4.66
150	140	Vel	Zero=-1 Min=0 Max=7	1		-2.21
150	140	Accel	Thrust=-2 (0)	1			-0.91	-0.67
150	140			Dec: V=Y V<MinV T=Y A=Y A>MaxA
160	150	Ang	TargetIdx=-1		4.63
160	150	Vel	Zero=-1 Min=0 Max=10	1		-2.76
160	150	Accel	Thrust=-1 (0)	1			-0.55	-0.63
160	150			Dec: V=Y V<MinV T=Y A=Y A>MaxA
170	160	Ang	TargetIdx=-1		4.61
170	160	Vel	Zero=5 Min=0 Max=100	1		-2.22
170	160	Accel	Thrust=0 (0)	0			0.53	-0.31
170	160			STOP BRAKE & THRUST T=-1: V=Y V<MinV T=N A=N
180	170	Ang	TargetIdx=-1		4.59
180	170	Vel	Zero=2 Min=0 Max=100	1		-1.42
180	170	Accel	Thrust=-1 (0)	0			0.80	0.26
180	170			Inc: V=Y V<MinV T=Y A=N
190	180	Ang	TargetIdx=-1		4.57
190	180	Vel	Zero=-1 Min=0 Max=9	1		-2.11
190	180	Accel	Thrust=-2 (0)	1			-0.69	0.22
190	180			Dec: V=Y V<MinV T=Y A=Y A>MaxA
200	190	Ang	TargetIdx=-1		4.55
200	190	Vel	Zero=-1 Min=0 Max=19	1		-2.41
200	190	Accel	Thrust=-1 (0)	1			-0.30	-0.06
200	190			Dec: V=Y V<MinV T=Y A=Y A>MaxA
210	200	Ang	TargetIdx=-1		4.52
210	200	Vel	Zero=78 Min=0 Max=100	1		-2.38
210	200	Accel	Thrust=0 (0)	0			0.03	-0.32
210	200			STOP BRAKE & THRUST T=-1: V=Y V<MinV T=N A=N
220	210	Ang	TargetIdx=-1		4.50
220	210	Vel	Zero=-1 Min=0 Max=17	1		-2.69
220	210	Accel	Thrust=-1 (0)	1			-0.31	-0.19
220	210			Dec: V=Y V<MinV T=Y A=Y A>MaxA
230	220	Ang	TargetIdx=-1		4.47
230	220	Vel	Zero=-1 Min=0 Max=15	1		-3.04
230	220	Accel	Thrust=0 (0)	1			-0.35	-0.21
230	220			INC BRAKE Dec: V=Y V<MinV T=N A=Y A>MaxA
240	230	Ang	TargetIdx=-1		4.44
240	230	Vel	Zero=11 Min=0 Max=100	1		-2.77
240	230	Accel	Thrust=1 (0)	0			0.27	-0.13
240	230			STOP BRAKE & THRUST T=-1: V=Y V<MinV T=N A=N
250	240	Ang	TargetIdx=-1		4.41
250	240	Vel	Zero=-1 Min=0 Max=12	1		-3.17
250	240	Accel	Thrust=-1 (0)	1			-0.40	-0.16
250	240			Dec: V=Y V<MinV T=Y A=Y A>MaxA
260	250	Ang	TargetIdx=-1		4.37
260	250	Vel	Zero=-1 Min=0 Max=16	1		-3.46
260	250	Accel	Thrust=0 (0)	1			-0.29	-0.14
260	250			INC BRAKE Dec: V=Y V<MinV T=N A=Y A>MaxA
270	260	Ang	TargetIdx=-1		4.34
270	260	Vel	Zero=-1 Min=0 Max=100	1		-3.45
270	260	Accel	Thrust=1 (0)	0			0.02	-0.23
270	260			STOP BRAKE & THRUST T=-1: V=Y V<MinV T=N A=N
280	270	Ang	TargetIdx=-1		4.31
280	270	Vel	Zero=16 Min=0 Max=100	1		-3.23
280	270	Accel	Thrust=-1 (0)	0			0.21	-0.02
280	270			Inc: V=Y V<MinV T=Y A=N
290	280	Ang	TargetIdx=-1		4.27
290	280	Vel	Zero=-1 Min=0 Max=15	1		-3.55
290	280	Accel	Thrust=-2 (0)	1			-0.31	-0.03
290	280			Dec: V=Y V<MinV T=Y A=Y A>MaxA
300	290	Ang	TargetIdx=-1		4.24
300	290	Vel	Zero=33 Min=0 Max=100	1		-3.44
300	290	Accel	Thrust=-1 (0)	0			0.11	0.00
300	290			Inc: V=Y V<MinV T=Y A=N
310	300	Ang	TargetIdx=-1		4.20
310	300	Vel	Zero=-1 Min=0 Max=39	1		-3.55
310	300	Accel	Thrust=-2 (0)	1			-0.11	-0.11
310	300			Dec: V=Y V<MinV T=Y A=Y A>MaxA
320	310	Ang	TargetIdx=-1		4.17
320	310	Vel	Zero=58 Min=0 Max=100	1		-3.49
320	310	Accel	Thrust=-1 (0)	0			0.06	0.02
320	310			Inc: V=Y V<MinV T=Y A=N
330	320	Ang	TargetIdx=-1		4.13
330	320	Vel	Zero=24 Min=0 Max=100	1		-3.35
330	320	Accel	Thrust=-2 (0)	0			0.15	0.03
330	320			Inc: V=Y V<MinV T=Y A=N
340	330	Ang	TargetIdx=-1		4.09
340	330	Vel	Zero=-1 Min=0 Max=7	1		-3.94
340	330	Accel	Thrust=-3 (0)	1			-0.60	-0.13
340	330			Dec: V=Y V<MinV T=Y A=Y A>MaxA
350	340	Ang	TargetIdx=-1		4.05
350	340	Vel	Zero=-1 Min=0 Max=6	1		-4.58
350	340	Accel	Thrust=-2 (0)	1			-0.63	-0.36
350	340			Dec: V=Y V<MinV T=Y A=Y A>MaxA
360	350	Ang	TargetIdx=-1		4.00
360	350	Vel	Zero=-1 Min=0 Max=23	1		-4.72
360	350	Accel	Thrust=-1 (0)	1			-0.15	-0.46
360	350			Dec: V=Y V<MinV T=Y A=Y A>MaxA
370	360	Ang	TargetIdx=-1		3.95
370	360	Vel	Zero=-1 Min=100 Max=4	1		-5.44
370	360	Accel	Thrust=0 (0)	1			-0.72	-0.50
370	360			BRAKE MORE: Dec V=Y MaxVFI<5 T=N MinVFI>=5
380	370	Ang	TargetIdx=-1		3.89
380	370	Vel	Zero=-1 Min=100 Max=22	1		-5.55
380	370	Accel	Thrust=1 (0)	1			-0.11	-0.33
390	380	Ang	TargetIdx=-1		3.83
390	380	Vel	Zero=-1 Min=100 Max=16	1		-5.71
390	380	Accel	Thrust=1 (0)	1			-0.15	-0.33
400	390	Ang	TargetIdx=-1		3.77
400	390	Vel	Zero=-1 Min=100 Max=11	1		-5.91
400	390	Accel	Thrust=1 (0)	1			-0.21	-0.16
410	400	Ang	TargetIdx=-1		3.72
410	400	Vel	Zero=13 Min=2 Max=100	1		-5.48
410	400	Accel	Thrust=1 (0)	0			0.43	0.02
410	400			STOP BRAKE & THRUST T=-1: V=Y (A=N) T=N V>MinV but MinVFI<5
420	410	Ang	TargetIdx=-1		3.67
420	410	Vel	Zero=42 Min=3 Max=100	1		-5.35
420	410	Accel	Thrust=-1 (0)	0			0.13	0.12
420	410			MINV Inc: V=Y T=Y (A=N) V>MinV but MinVFI<5
430	420	Ang	TargetIdx=-1		3.61
430	420	Vel	Zero=-1 Min=100 Max=4	1		-5.97
430	420	Accel	Thrust=-2 (0)	1			-0.61	-0.02
430	420			START BRAKE Thrust=0: V=Y MaxVFI<5 T=Y 
440	430	Ang	TargetIdx=-1		3.55
440	430	Vel	Zero=25 Min=4 Max=100	1		-5.73
440	430	Accel	Thrust=0 (0)	0			0.24	-0.08
440	430			STOP BRAKE & THRUST T=-1: V=Y (A=N) T=N V>MinV but MinVFI<5
450	440	Ang	TargetIdx=-1		3.50
450	440	Vel	Zero=9 Min=1 Max=100	1		-5.14
450	440	Accel	Thrust=-1 (0)	0			0.59	0.07
450	440			MINV Inc: V=Y T=Y (A=N) V>MinV but MinVFI<5
460	450	Ang	TargetIdx=-1		3.44
460	450	Vel	Zero=-1 Min=100 Max=13	1		-5.35
460	450	Accel	Thrust=-2 (0)	1			-0.21	0.20
470	460	Ang	TargetIdx=-1		3.39
470	460	Vel	Zero=17 Min=1 Max=100	1		-5.06
470	460	Accel	Thrust=-2 (0)	0			0.30	0.22
470	460			MINV Inc: V=Y T=Y (A=N) V>MinV but MinVFI<5
480	470	Ang	TargetIdx=-1		3.35
480	470	Vel	Zero=14 Min=0 Max=100	1		-4.70
480	470	Accel	Thrust=-3 (0)	0			0.36	0.15
480	470			Inc: V=Y V<MinV T=Y A=N
490	480	Ang	TargetIdx=-1		3.30
490	480	Vel	Zero=-1 Min=0 Max=25	1		-4.83
490	480	Accel	Thrust=-4 (0)	1			-0.13	0.18
490	480			Dec: V=Y V<MinV T=Y A=Y A>MaxA
500	490	Ang	TargetIdx=-1		3.25
500	490	Vel	Zero=-1 Min=100 Max=11	1		-5.10
500	490	Accel	Thrust=-3 (0)	1			-0.27	-0.01
510	500	Ang	TargetIdx=-1		3.19
510	500	Vel	Zero=-1 Min=100 Max=7	1		-5.48
510	500	Accel	Thrust=-3 (0)	1			-0.38	-0.26
520	510	Ang	TargetIdx=-1		3.13
520	510	Vel	Zero=-1 Min=100 Max=5	1		-5.92
520	510	Accel	Thrust=-3 (0)	1			-0.44	-0.36
530	520	Ang	TargetIdx=-1		3.07
530	520	Vel	Zero=-1 Min=100 Max=2	1		-6.77
530	520	Accel	Thrust=-3 (0)	1			-0.85	-0.56
530	520			START BRAKE Thrust=0: V=Y MaxVFI<5 T=Y 
540	530	Ang	TargetIdx=-1		2.99
540	530	Vel	Zero=-1 Min=100 Max=1	1		-7.60
540	530	Accel	Thrust=0 (0)	1			-0.83	-0.71
540	530			BRAKE MORE: Dec V=Y MaxVFI<5 T=N MinVFI>=5
550	540	Ang	TargetIdx=-1		2.91
550	540	Vel	Zero=-1 Min=100 Max=0	1		-8.23
550	540	Accel	Thrust=1 (0)	1			-0.63	-0.77
550	540			INCREASE BRAKE Dec: V=Y V>MaxV T=N A=Y
560	550	Ang	TargetIdx=-1		2.82
560	550	Vel	Zero=-1 Min=100 Max=0	1		-9.02
560	550	Accel	Thrust=2 (0)	1			-0.79	-0.75
560	550			INCREASE BRAKE Dec: V=Y V>MaxV T=N A=Y
570	560	Ang	TargetIdx=-1		2.72
570	560	Vel	Zero=-1 Min=100 Max=0	1		-9.36
570	560	Accel	Thrust=3 (0)	1			-0.34	-0.59
570	560			INCREASE BRAKE Dec: V=Y V>MaxV T=N A=Y
580	570	Ang	TargetIdx=98		2.62
580	570	Vel	Zero=-1 Min=100 Max=0	1		-9.89
580	570	Accel	Thrust=4 (0)	1			-0.53	-0.55
580	570			Dec: Targ<100 Zero>100 V=Y A=Y V>Min Need=-5 ThrDirCrt=0
590	580	Ang	TargetIdx=99		2.53
590	580	Vel	Zero=56 Min=27 Max=0	1		-9.71
590	580	Accel	Thrust=5 (0)	0			0.18	-0.23
600	590	Ang	TargetIdx=-1		2.44
600	590	Vel	Zero=9 Min=4 Max=0	1		-8.67
600	590	Accel	Thrust=5 (0)	0			1.05	0.23
600	590			DECREASE BRAKE Inc: V=Y V>MaxV T=N T!=0 A=N
610	600	Ang	TargetIdx=-1		2.37
610	600	Vel	Zero=6 Min=2 Max=100	1		-7.35
610	600	Accel	Thrust=4 (0)	0			1.32	0.85
610	600			STOP BRAKE & THRUST T=-1: V=Y (A=N) T=N V>MinV but MinVFI<5
620	610	Ang	TargetIdx=-1		2.31
620	610	Vel	Zero=4 Min=1 Max=100	1		-5.82
620	610	Accel	Thrust=-1 (0)	0			1.53	1.30
620	610			MINV Inc: V=Y T=Y (A=N) V>MinV but MinVFI<5
630	620	Ang	TargetIdx=-1		2.25
630	620	Vel	Zero=47 Min=6 Max=100	1		-5.70
630	620	Accel	Thrust=-2 (0)	0			0.12	0.99
640	630	Ang	TargetIdx=-1		2.20
640	630	Vel	Zero=10 Min=1 Max=100	1		-5.18
640	630	Accel	Thrust=-2 (0)	0			0.52	0.72
640	630			MINV Inc: V=Y T=Y (A=N) V>MinV but MinVFI<5
650	640	Ang	TargetIdx=-1		2.16
650	640	Vel	Zero=3 Min=0 Max=100	1		-3.51
650	640	Accel	Thrust=-3 (0)	0			1.66	0.77
650	640			Inc: V=Y V<MinV T=Y A=N
660	650	Ang	TargetIdx=-1		2.14
660	650	Vel	Zero=3 Min=0 Max=100	1		-2.37
660	650	Accel	Thrust=-4 (0)	0			1.15	1.11
660	650			Inc: V=Y V<MinV T=Y A=N
670	660	Ang	TargetIdx=-1		2.12
670	660	Vel	Zero=38 Min=0 Max=100	1		-2.31
670	660	Accel	Thrust=-5 (0)	0			0.06	0.96
670	660			Inc: V=Y V<MinV T=Y A=N
680	670	Ang	TargetIdx=-1		2.10
680	670	Vel	Zero=6 Min=0 Max=100	1		-1.95
680	670	Accel	Thrust=-5 (0)	0			0.36	0.52
680	670			Inc: V=Y V<MinV T=Y A=N
690	680	Ang	TargetIdx=-1		2.07
690	680	Vel	Zero=-1 Min=0 Max=13	1		-2.39
690	680	Accel	Thrust=-5 (0)	1			-0.44	-0.01
690	680			Dec: V=Y V<MinV T=Y A=Y A>MaxA
700	690	Ang	TargetIdx=-1		2.05
700	690	Vel	Zero=-1 Min=0 Max=17	1		-2.71
700	690	Accel	Thrust=-4 (0)	1			-0.32	-0.13
700	690			Dec: V=Y V<MinV T=Y A=Y A>MaxA
710	700	Ang	TargetIdx=-1		2.01
710	700	Vel	Zero=-1 Min=0 Max=4	1		-3.81
710	700	Accel	Thrust=-3 (0)	1			-1.09	-0.62
710	700			START BRAKE Thrust=0: V=Y MaxVFI<5 T=Y 
720	710	Ang	TargetIdx=-1		1.97
720	710	Vel	Zero=-1 Min=0 Max=8	1		-4.28
720	710	Accel	Thrust=0 (0)	1			-0.47	-0.63
720	710			INC BRAKE Dec: V=Y V<MinV T=N A=Y A>MaxA
730	720	Ang	TargetIdx=-1		1.91
730	720	Vel	Zero=-1 Min=100 Max=3	1		-5.28
730	720	Accel	Thrust=1 (0)	1			-1.00	-0.85
730	720			BRAKE MORE: Dec V=Y MaxVFI<5 T=N MinVFI>=5
740	730	Ang	TargetIdx=-1		1.85
740	730	Vel	Zero=-1 Min=100 Max=3	1		-6.03
740	730	Accel	Thrust=2 (0)	1			-0.75	-0.74
740	730			BRAKE MORE: Dec V=Y MaxVFI<5 T=N MinVFI>=5
750	740	Ang	TargetIdx=-1		1.80
750	740	Vel	Zero=28 Min=4 Max=100	1		-5.81
750	740	Accel	Thrust=3 (0)	0			0.21	-0.51
750	740			STOP BRAKE & THRUST T=-1: V=Y (A=N) T=N V>MinV but MinVFI<5
760	750	Ang	TargetIdx=-1		1.74
760	750	Vel	Zero=-1 Min=15 Max=100	1		-5.76
760	750	Accel	Thrust=-1 (0)	0			0.05	-0.16
770	760	Ang	TargetIdx=-1		1.68
770	760	Vel	Zero=32 Min=4 Max=100	1		-5.58
770	760	Accel	Thrust=-1 (0)	0			0.18	0.15
770	760			MINV Inc: V=Y T=Y (A=N) V>MinV but MinVFI<5
780	770	Ang	TargetIdx=-1		1.64
780	770	Vel	Zero=4 Min=0 Max=100	1		-4.20
