Time	Inst Time	Quantity	Trgt/ZrVl/Thr (WG)	Info/CrctDir	Angle	Velocity	Accel	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250	260	270	280	290	300	310	320	330	340	350	360	370	380	390	400	410	420	430	440	450	460	470	480	490	500	510	520	530	540	550	560	570	580	590	600	610	620	630	640	650	660	670	680	690	700	710	720	730	740	750	760	770	780	790	800	810	820	830	840	850	860	870	880	890	900	910	920	930	940	950	960	970	980	990	1000
10	0			LAST_MAINTAIN_THRUST=0 Segment Left Lower Leg out of range	TargetAngle=-5.00 -4.00 -3.00
10	0			Segment Left Lower Leg out of range	TargetAngle=-5.00 -4.00 -3.00
20	10	Ang	TargetIdx=-1		3.10
20	10	Vel	Zero=-1 Min=0 Max=81	1		-0.01
20	10	Accel	Thrust=-1 (0)	1			-0.10	0.00
20	10			Inc: V=Y V<MinV T=Y A=Y A<MaxA
30	20	Ang	TargetIdx=-1		3.22
30	20	Vel	Zero=-1	0		0.13
30	20	Accel	Thrust=-2 (0)	0			0.15	0.05
30	20			Inc: V=N A=N T=Y
40	30	Ang	TargetIdx=-1		2.67
40	30	Vel	Zero=2	0		0.08
40	30	Accel	Thrust=-3 (0)	1			-0.05	-0.00
50	40	Ang	TargetIdx=-1		1.07
50	40	Vel	Zero=-1 Min=0 Max=40	1		-0.12
50	40	Accel	Thrust=-3 (0)	1			-0.20	-0.04
50	40			Dec: V=Y V<MinV T=Y A=Y A>MaxA
60	50	Ang	TargetIdx=-1		1.68
60	50	Vel	Zero=-1	0		0.19
60	50	Accel	Thrust=-2 (0)	0			0.31	0.02
60	50			Inc: V=N A=N T=Y
70	60	Ang	TargetIdx=-1		2.25
70	60	Vel	Zero=-1 Min=0 Max=30	1		-0.07
70	60	Accel	Thrust=-3 (0)	1			-0.27	-0.05
70	60			Dec: V=Y V<MinV T=Y A=Y A>MaxA
80	70	Ang	TargetIdx=-1		3.83
80	70	Vel	Zero=-1 Min=0 Max=14	1		-0.64
80	70	Accel	Thrust=-2 (0)	1			-0.56	-0.17
80	70			Dec: V=Y V<MinV T=Y A=Y A>MaxA
90	80	Ang	TargetIdx=-1		3.22
90	80	Vel	Zero=27 Min=0 Max=100	1		-0.62
90	80	Accel	Thrust=-1 (0)	0			0.02	-0.27
90	80			Inc: V=Y V<MinV T=Y A=N
100	90	Ang	TargetIdx=-1		2.52
100	90	Vel	Zero=2 Min=0 Max=100	1		-0.41
100	90	Accel	Thrust=-2 (0)	0			0.21	-0.11
100	90			Inc: V=Y V<MinV T=Y A=N
110	100	Ang	TargetIdx=-1		3.10
110	100	Vel	Zero=13 Min=0 Max=100	1		-0.38
110	100	Accel	Thrust=-3 (0)	0			0.03	0.09
110	100			Inc: V=Y V<MinV T=Y A=N
120	110	Ang	TargetIdx=-1		3.08
120	110	Vel	Zero=-1 Min=0 Max=6	1		-1.50
120	110	Accel	Thrust=-4 (0)	1			-1.12	-0.30
120	110			Dec: V=Y V<MinV T=Y A=Y A>MaxA
130	120	Ang	TargetIdx=-1		3.07
130	120	Vel	Zero=6 Min=0 Max=100	1		-1.27
130	120	Accel	Thrust=-3 (0)	0			0.23	-0.29
130	120			Inc: V=Y V<MinV T=Y A=N
140	130	Ang	TargetIdx=-1		3.07
140	130	Vel	Zero=1 Min=0 Max=100	1		-0.33
140	130	Accel	Thrust=-4 (0)	0			0.94	0.02
140	130			Inc: V=Y V<MinV T=Y A=N
150	140	Ang	TargetIdx=-1		3.06
150	140	Vel	Zero=-1 Min=0 Max=14	1		-0.85
150	140	Accel	Thrust=-5 (0)	1			-0.52	0.22
150	140			Dec: V=Y V<MinV T=Y A=Y A>MaxA
160	150	Ang	TargetIdx=-1		3.04
160	150	Vel	Zero=-1 Min=0 Max=6	1		-1.99
160	150	Accel	Thrust=-4 (0)	1			-1.14	-0.24
160	150			Dec: V=Y V<MinV T=Y A=Y A>MaxA
170	160	Ang	TargetIdx=-1		3.02
170	160	Vel	Zero=-1 Min=0 Max=100	1		-2.04
170	160	Accel	Thrust=-3 (0)	1			-0.05	-0.57
170	160			Inc: V=Y V<MinV T=Y A=Y A<MaxA
180	170	Ang	TargetIdx=-1		2.99
180	170	Vel	Zero=-1 Min=0 Max=9	1		-2.70
180	170	Accel	Thrust=-4 (0)	1			-0.66	-0.62
180	170			Dec: V=Y V<MinV T=Y A=Y A>MaxA
190	180	Ang	TargetIdx=-1		2.95
190	180	Vel	Zero=-1 Min=0 Max=4	1		-3.84
190	180	Accel	Thrust=-3 (0)	1			-1.14	-0.62
190	180			START BRAKE Thrust=0: V=Y MaxVFI<5 T=Y 
200	190	Ang	TargetIdx=-1		2.91
200	190	Vel	Zero=-1 Min=0 Max=15	1		-4.11
200	190	Accel	Thrust=0 (0)	1			-0.27	-0.69
200	190			INC BRAKE Dec: V=Y V<MinV T=N A=Y A>MaxA
210	200	Ang	TargetIdx=-1		2.87
210	200	Vel	Zero=8 Min=0 Max=100	1		-3.64
210	200	Accel	Thrust=1 (0)	0			0.47	-0.31
210	200			STOP BRAKE & THRUST T=-1: V=Y V<MinV T=N A=N
220	210	Ang	TargetIdx=-1		2.85
220	210	Vel	Zero=4 Min=0 Max=100	1		-2.89
220	210	Accel	Thrust=-1 (0)	0			0.75	0.32
220	210			Inc: V=Y V<MinV T=Y A=N
230	220	Ang	TargetIdx=-1		2.82
230	220	Vel	Zero=16 Min=0 Max=100	1		-2.72
230	220	Accel	Thrust=-2 (0)	0			0.18	0.47
230	220			Inc: V=Y V<MinV T=Y A=N
240	230	Ang	TargetIdx=-1		2.78
240	230	Vel	Zero=-1 Min=0 Max=8	1		-3.33
240	230	Accel	Thrust=-3 (0)	1			-0.61	0.10
240	230			Dec: V=Y V<MinV T=Y A=Y A>MaxA
250	240	Ang	TargetIdx=-1		2.75
250	240	Vel	Zero=-1 Min=0 Max=26	1		-3.50
250	240	Accel	Thrust=-2 (0)	1			-0.18	-0.20
250	240			Dec: V=Y V<MinV T=Y A=Y A>MaxA
260	250	Ang	TargetIdx=-1		2.71
260	250	Vel	Zero=-1 Min=0 Max=100	1		-3.53
260	250	Accel	Thrust=-1 (0)	1			-0.02	-0.27
260	250			Inc: V=Y V<MinV T=Y A=Y A<MaxA
270	260	Ang	TargetIdx=-1		2.67
270	260	Vel	Zero=-1 Min=0 Max=7	1		-4.10
270	260	Accel	Thrust=-2 (0)	1			-0.57	-0.26
270	260			Dec: V=Y V<MinV T=Y A=Y A>MaxA
280	270	Ang	TargetIdx=-1		2.63
280	270	Vel	Zero=76 Min=0 Max=100	1		-4.04
280	270	Accel	Thrust=-1 (0)	0			0.05	-0.18
280	270			Inc: V=Y V<MinV T=Y A=N
290	280	Ang	TargetIdx=-1		2.59
290	280	Vel	Zero=-1 Min=0 Max=27	1		-4.19
290	280	Accel	Thrust=-2 (0)	1			-0.15	-0.22
290	280			Dec: V=Y V<MinV T=Y A=Y A>MaxA
300	290	Ang	TargetIdx=-1		2.54
300	290	Vel	Zero=-1 Min=0 Max=5	1		-4.87
300	290	Accel	Thrust=-1 (0)	1			-0.68	-0.26
300	290			Dec: V=Y V<MinV T=Y A=Y A>MaxA
310	300	Ang	TargetIdx=-1		2.50
310	300	Vel	Zero=20 Min=0 Max=100	1		-4.63
310	300	Accel	Thrust=0 (0)	0			0.24	-0.20
310	300			STOP BRAKE & THRUST T=-1: V=Y V<MinV T=N A=N
320	310	Ang	TargetIdx=-1		2.45
320	310	Vel	Zero=46 Min=0 Max=100	1		-4.53
320	310	Accel	Thrust=-1 (0)	0			0.10	-0.11
320	310			Inc: V=Y V<MinV T=Y A=N
330	320	Ang	TargetIdx=-1		2.41
330	320	Vel	Zero=-1 Min=0 Max=100	1		-4.50
330	320	Accel	Thrust=-2 (0)	0			0.03	0.12
330	320			Inc: V=Y V<MinV T=Y A=N
340	330	Ang	TargetIdx=-1		2.36
340	330	Vel	Zero=-1 Min=0 Max=7	1		-4.95
340	330	Accel	Thrust=-3 (0)	1			-0.45	-0.11
340	330			Dec: V=Y V<MinV T=Y A=Y A>MaxA
350	340	Ang	TargetIdx=-1		2.30
350	340	Vel	Zero=-1 Min=100 Max=5	1		-5.52
350	340	Accel	Thrust=-2 (0)	1			-0.56	-0.33
360	350	Ang	TargetIdx=-1		2.24
360	350	Vel	Zero=-1 Min=100 Max=5	1		-5.98
360	350	Accel	Thrust=-2 (0)	1			-0.47	-0.49
370	360	Ang	TargetIdx=-1		2.18
370	360	Vel	Zero=-1 Min=100 Max=44	1		-6.03
370	360	Accel	Thrust=-2 (0)	1			-0.05	-0.36
380	370	Ang	TargetIdx=94		2.12
380	370	Vel	Zero=-1 Min=100 Max=4	1		-6.52
380	370	Accel	Thrust=-2 (0)	1			-0.49	-0.33
380	370			Dec: Targ<100 Zero>100 V=Y A=Y V>Min Need=-5 ThrDirCrt=1
390	380	Ang	TargetIdx=87		2.05
390	380	Vel	Zero=-1 Min=100 Max=3	1		-6.98
